name,region,subdivision,country
ajaccio,Corse,,France
aloxe-corton,Bourgogne,côte de Beaune,France
alsace ou vin d'Alsace,Alsace,,France
alsace grand cru,Alsace,,France
anjou,vallée de la Loire,Anjou,France
anjou-coteaux-de-la-loire,vallée de la Loire,Anjou,France
anjou villages,vallée de la Loire,Anjou,France
anjou villages brissac,vallée de la Loire,Anjou,France
arbois,Jura,,France
auxey-duresses,Bourgogne,côte de Beaune,France
bandol,Provence,,France
banyuls,Languedoc-Roussillon,Roussillon,France
banyuls grand cru,Languedoc-Roussillon,Roussillon,France
barsac,Bordeaux,Sauternais,France
bâtard-montrachet,Bourgogne,côte de Beaune,France
béarn,Sud-Ouest,,France
beaujolais,Beaujolais,,France
beaujolais-villages,Beaujolais,,France
beaumes-de-venise,vallée du Rhône,,France
beaune,Bourgogne,côte de Beaune,France
bellet ou vin de Bellet,Provence,,France
bergerac,Sud-Ouest,,France
bienvenues-bâtard-montrachet,Bourgogne,côte de Beaune,France
blagny,Bourgogne,côte de Beaune,France
blaye,Bordeaux,,France
bonnes-mares,Bourgogne,côte de Nuits,France
bonnezeaux,vallée de la Loire,,France
bordeaux,Bordeaux,,France
bordeaux supérieur,Bordeaux,,France
bourgogne,Bourgogne,,France
bourgogne aligoté,Bourgogne,,France
bourgogne-ordinaire ou bourgogne grand ordinaire,Bourgogne,,France
bourgogne mousseux,Bourgogne,,France
bourgogne passe-tout-grains,Bourgogne,,France
bourgueil,vallée de la Loire,,France
bouzeron,Bourgogne,côte chalonnaise,France
brouilly,Beaujolais,,France
bugey,Bugey,,France
buzet,Sud-Ouest,,France
cabardès,Languedoc,,France
cabernet d'Anjou,vallée de la Loire,,France
cabernet de Saumur,vallée de la Loire,,France
cadillac,Bordeaux,,France
cahors,Sud-Ouest,,France
canon-fronsac,Bordeaux,,France
cassis,Provence,,France
cérons,Bordeaux,Graves,France
chablis,Bourgogne,Basse-Bourgogne,France
chablis grand cru,Bourgogne,Basse-Bourgogne,France
chambertin,Bourgogne,côte de Nuits,France
chambertin-clos-de-bèze,Bourgogne,côte de Nuits,France
chambolle-musigny,Bourgogne,côte de Nuits,France
champagne,Champagne,,France
chapelle-chambertin,Bourgogne,côte de Nuits,France
charlemagne,Bourgogne,côte de Beaune,France
charmes-chambertin,Bourgogne,côte de Nuits,France
chassagne-montrachet,Bourgogne,côte de Beaune,France
château-chalon,Jura,,France
château-grillet,vallée du Rhône,,France
châteaumeillant,vallée de la Loire,,France
châteauneuf-du-pape,vallée du Rhône,,France
châtillon-en-diois,vallée du Rhône,,France
chénas,Beaujolais,,France
chevalier-montrachet,Bourgogne,côte de Beaune,France
cheverny,vallée de la Loire,,France
chinon,vallée de la Loire,,France
chiroubles,Beaujolais,,France
chorey-lès-beaune,Bourgogne,côte de Beaune,France
clairette de Bellegarde,vallée du Rhône,,France
clairette de Die,vallée du Rhône,,France
clairette du Languedoc,Languedoc,,France
clos-de-la-roche,Bourgogne,côte de Nuits,France
clos-de-tart,Bourgogne,côte de Nuits,France
clos-de-vougeot ou clos-vougeot,Bourgogne,côte de Nuits,France
clos-des-lambrays,Bourgogne,côte de Nuits,France
clos-saint-denis,Bourgogne,côte de Nuits,France
collioure,Roussillon,,France
condrieu,vallée du Rhône,,France
corbières,Languedoc,,France
corbières-boutenac,Languedoc,,France
cornas,vallée du Rhône,,France
corse ou vin de Corse,Corse,,France
corton,Bourgogne,côte de Beaune,France
corton-charlemagne,Bourgogne,côte de Beaune,France
costières-de-nîmes,vallée du Rhône,,France
côte-de-beaune,Bourgogne,côte de Beaune,France
côte-de-beaune-villages,Bourgogne,côte de Beaune,France
côte-de-nuits-villages,Bourgogne,côte de Nuits,France
côte-de-brouilly,Beaujolais,,France
côte-roannaise,vallée de la Loire,,France
côte-rôtie,vallée du Rhône,,France
coteaux-champenois,Champagne,,France
coteaux-d'aix-en-provence,Provence,,France
coteaux-de-die,vallée du Rhône,,France
coteaux-de-l'aubance,vallée de la Loire,,France
coteaux-de-saumur,vallée de la Loire,,France
coteaux-du-giennois,vallée de la Loire,,France
coteaux-du-layon,vallée de la Loire,,France
coteaux-du-loir,vallée de la Loire,,France
coteaux-du-lyonnais,Lyonnais,,France
coteaux-du-vendômois,vallée de la Loire,,France
coteaux-varois-en-provence,Provence,,France
côtes-de-bergerac,Sud-Ouest,,France
côtes-de-blaye,Bordeaux,,France
côtes-de-bordeaux,Bordeaux,,France
côtes-de-bordeaux-saint-macaire,Bordeaux,,France
côtes-de-bourg ou bourg ou bourgeais,Bordeaux,,France
côtes-de-duras,Sud-Ouest,,France
côtes-de-montravel,Sud-Ouest,,France
côtes-de-provence,Provence,,France
côtes-de-toul,Lorraine,,France
côtes-du-forez,vallée de la Loire,,France
côtes-du-jura,Jura,,France
côtes-du-marmandais,Sud-Ouest,,France
côtes-du-rhône,vallée du Rhône,,France
Côtes-du-rhône villages,vallée du Rhône,,France
côtes-du-roussillon,Roussillon,,France
Côtes-du-roussillon villages,Roussillon,,France
côtes-du-vivarais,vallée du Rhône,,France
cour-cheverny,vallée de la Loire,,France
crémant d'Alsace,Alsace,,France
crémant de Bordeaux,Bordeaux,,France
crémant de Bourgogne,Bourgogne,,France
crémant de Die,vallée du Rhône,,France
crémant de Limoux,Languedoc,,France
crémant de Loire,vallée de la Loire,,France
crémant du Jura,Jura,,France
criots-bâtard-montrachet,Bourgogne,côte de Beaune,France
crozes-hermitage ou crozes-ermitage,vallée du Rhône,,France
échezeaux,Bourgogne,côte de Nuits,France
entre-deux-mers,Bordeaux,,France
faugères,Languedoc,,France
fiefs-vendéens,vallée de la Loire,Vignoble nantais,France
fitou,Languedoc,,France
fixin,Bourgogne,côte de Nuits,France
fleurie,Beaujolais,,France
fronsac,Bordeaux,,France
fronton,Sud-Ouest,,France
gaillac,Sud-Ouest,,France
gaillac-premières-côtes,Sud-Ouest,,France
gevrey-chambertin,Bourgogne,côte de Nuits,France
gigondas,vallée du Rhône,,France
givry,Bourgogne,côte chalonnaise,France
grands-échezeaux,Bourgogne,côte de Nuits,France
graves,Bordeaux,Graves,France
graves-de-vayres,Bordeaux,,France
graves-supérieures,Bordeaux,Graves,France
grignan-les-adhémar,vallée du Rhône,,France
griotte-chambertin,Bourgogne,côte de Nuits,France
haut-médoc,Bordeaux,Médoc,France
haut-montravel,Sud-Ouest,,France
hermitage ou ermitage,vallée du Rhône,,France
irancy,Bourgogne,Basse-Bourgogne,France
irouléguy,Sud-Ouest,,France
jasnières,vallée de la Loire,,France
juliénas,Beaujolais,,France
jurançon,Sud-Ouest,,France
l'étoile,Jura,,France
la-grande-rue,Bourgogne,côte de Nuits,France
la-romanée,Bourgogne,côte de Nuits,France
la-tâche,Bourgogne,côte de Nuits,France
ladoix,Bourgogne,côte de Beaune,France
lalande-de-pomerol,Bordeaux,,France
languedoc,Languedoc,,France
latricières-chambertin,Bourgogne,côte de Nuits,France
les-baux-de-provence,Provence,,France
limoux,Languedoc,,France
lirac,vallée du Rhône,,France
listrac-médoc,Bordeaux,Médoc,France
loupiac,Bordeaux,,France
luberon,vallée du Rhône,,France
lussac-saint-émilion,Bordeaux,,France
mâcon,Bourgogne,Mâconnais,France
